id_gis,id_rec_dat,name,edar,edar_code,ind,capt,lat,lon
2,1,pt002,,,36,,41.79334893,2.235058142
4,2,pt004,"GARRIGA, LA",ES9080880001010E,33,,41.66317582,2.288817458
6,3,pt006,,,,,41.69712563,2.28393975
8,4,pt008,,,60,,41.7118822,2.268759894
10,5,pt010,,,,,41.76285417,2.251650664
12,6,pt012,,,49,,41.78618248,2.2402547
14,7,pt014,,,,,41.81005947,2.30227979
16,8,pt016,,,,,41.66527202,2.229973769
18,9,pt018,BIGUES I RIELLS,ES9080230004010E,29,,41.66945809,2.216718413
20,10,pt020,,,,,41.69227489,2.196926691
22,11,pt022,,,,,41.61361021,2.355332728
24,12,pt024,,,,,41.61090263,2.177846659
26,13,pt026,,,,,41.69293747,2.195137608
28,14,pt028,"ROCA DEL VALLÈS, LA",ES9080460001010E,40,,41.61611061,2.359805998
30,15,pt030,,,30,,41.71449842,2.189141763
32,16,pt032,,,23,,41.63912649,2.159789019
34,17,pt034,,,,1,41.64695792,2.153686885
36,18,pt036,,,,,41.62427439,2.371122049
38,19,pt038,,,42,,41.6698811,2.357472768
40,20,pt040,,,52,,41.62996179,2.382464581
42,21,pt042,,,56,,41.63722793,2.05992243
44,22,pt044,,,,,41.65758457,2.32647543
46,23,pt046,,,46,,41.64700202,2.42017936
48,24,pt048,,,45,,41.65982541,2.41278761
50,25,pt050,,,,,41.68560993,2.05641986
52,26,pt052,,,,,41.69139652,2.09664265
54,27,pt054,,,43,,41.71951886,2.340759209
56,28,pt056,,,59,,41.72266702,2.16711195
58,29,pt058,,,11,,41.46807552,2.188031112
60,30,pt060,,,17,,41.48723603,2.192580424
62,31,pt062,,,48,,41.49241991,2.193713274
64,32,pt064,"LLAGOSTA, LA",ES9081050001010E,,,41.5039648,2.203448899
66,33,pt066,,,,,41.51324226,2.210820202
68,34,pt068,,,24,,41.53154243,2.221379305
70,35,pt070,MONTORNÈS DEL VALLÈS,ES9081360001010E,25,,41.54333598,2.235016694
72,36,pt072,,,,,41.54658689,2.250255704
74,37,pt074,GRANOLLERS,ES9080960001010E,,,41.56764117,2.269789423
76,38,pt076,,,,,41.62175543,2.286573637
78,39,pt078,,,,,41.48694551,2.183306348
80,40,pt080,,,,,41.49147432,2.156013098
82,41,pt082,,,12,,41.52508696,2.136710733
84,42,pt084,SABADELL/RIU RIPOLL,ES9081870004010E,55,,41.53266062,2.12642737
86,43,pt086,,,,,41.54668357,2.265232391
88,44,pt088,,,,,41.52260404,2.197830347
90,45,pt090,,,37,,41.55509288,2.278319338
92,46,pt092,,,,,41.54465813,2.230807459
94,47,pt094,VILANOVA DEL VALLÈS,ES9081810001010E,38,,41.56607094,2.306963191
96,48,pt096,,,50,,41.58865381,2.320210492
98,49,pt098,,,22,,41.57914747,2.174353386
100,50,pt100,,,58,,41.5735245,2.240054839
102,51,pt102,,,,,41.57494484,2.094390873
104,52,pt104,,,14,,41.60135783,2.076632836
106,53,pt106,,,28,,41.61496167,2.244666444
108,54,pt108,,,15,,41.62604834,2.068782577
110,55,pt110,,,39,,41.59340933,2.325256731
112,56,pt112,CALDES DE MONTBUI,ES9080330001010E,,,41.60775027,2.177586846
114,57,pt114,,,6,,41.50246287,2.120846348
116,58,pt116,,,5,,41.5198308,2.096956284
118,59,pt118,,,,,41.48196839,2.148655036
120,60,pt120,,,19,,41.52305984,2.166981737
122,61,pt122,,,62,,41.54792772,2.284090707
124,62,pt124,,,26,,41.57174771,2.209813523
126,63,pt126,,,20,,41.58598581,2.155382844
128,64,pt128,,,,,41.45061178,2.200811667
130,65,pt130,,,,,41.60888076,2.033648189
132,66,pt132,,,4,,41.52585899,2.090883294
134,67,pt134,,,,,41.65814986,2.1186689
136,68,pt136,SANT FELIU DE CODINES,ES9082100001010E,,,41.68472006,2.178708751
138,69,pt138,,,,,41.70865234,2.189815845
140,70,pt140,,,,,41.72633241,2.33786306
142,71,pt142,,,63,,41.46675766,2.101582569
144,72,pt144,,,53,,41.45717245,2.113381418
146,73,pt146,,,64,,41.49192304,2.068684796
148,74,pt148,,,10,,41.47108055,2.137128449
150,75,pt150,,,9,,41.48262012,2.115727944
152,76,pt152,,,,,41.47325504,2.09790226
154,77,pt154,,,3,,41.55080002,2.058179997
156,78,pt156,,,2,,41.54807286,2.054924414
158,79,pt158,CASTELLAR DEL VALLÈS,ES9080510004010E,,,41.59598163,2.079707294
160,80,pt160,,,13,,41.58050372,2.085921306
162,81,pt162,,,47,,41.61512118,2.094217824
164,82,pt164,,,18,,41.54285134,2.14602781
166,83,pt166,,,,,41.62310237,2.123408241
168,84,pt168,,,27,,41.58773827,2.245583341
170,85,pt170,SANT QUIRZE SAFAJA,ES9082390001010E,32,,41.71685796,2.172893503
172,86,pt172,AIGUAFREDA,ES9080140001010E,35,,41.74740009,2.262948203
174,87,pt174,,,34,,41.72563866,2.273410104
176,88,pt176,,,51,,41.59550256,2.336926439
178,89,pt178,,,41,,41.60567846,2.345517316
180,90,pt180,,,44,,41.63387936,2.399824898
182,91,pt182,SANT ANTONI DE VILAMAJOR,ES9081980007010E,,,41.66719552,2.401916495
184,92,pt184,,,,,41.47204261,2.086848279
186,93,pt186,,,8,,41.44663951,2.090195508
188,94,pt188,,,,,41.61089982,2.353560592
190,95,pt190,,,,,41.59013105,2.20380198
192,96,pt192,,,1,,41.59250047,2.039288334
194,97,pt194,MATADEPERA,ES9081200001100E,,,41.59787053,2.035611206
196,98,pt196,MONTCADA,ES9081250002010E,,,41.47573891,2.189730845
198,99,pt198,,,7,,41.47507157,2.099971645
200,100,pt200,SABADELL/RIU SEC,ES9081870001010E,,,41.51763686,2.104172878
202,101,pt202,,,,,41.53890871,2.06254581
204,102,pt204,,,,,41.50078749,2.199596366
206,103,pt206,,,54,,41.5842739,2.078974384
208,104,pt208,,,,,41.63297972,2.063283651
210,105,pt210,,,16,,41.66302968,2.050544422
212,106,pt212,SANT LLORENÇ SAVALL,ES9082230001010E,,,41.67275188,2.056104179
214,107,pt214,,,57,,41.54128082,2.230547952
216,108,pt216,,,21,,41.60675376,2.134562337
218,109,pt218,,,,,41.64315035,2.156136725
220,110,pt220,SANTA EULÀLIA DE RONÇANA,ES9081070012010E,,,41.62868385,2.243906416
222,111,pt222,,,,,41.74804281,2.159872763
224,112,pt224,,,31,,41.73068186,2.155292483
226,113,pt226,CENTELLES,ES9080670001010E,61,,41.79223588,2.236875556
228,114,pt228,,,,,41.6449997,2.418022453
230,115,pt230,CÀNOVES I SAMALÚS,ES9080420001010E,,,41.68269558,2.355243991
